Street code,Date ,Start Time,End Time,Temperature (°C),Cloud Cover code,Beaufort scale ,Day of Week ,Species ,Bird Scientific Name ,Behaviour,Time of Observation,Plant species,Scientific Name ,DBH,Notes
S02,30/05/2024,7:40,8:00,11,1,1,Thursday,AMRO,Turdus migratorius,Perch,8:00,Red oak,Quercus rubra,23,
S02,30/05/2024,7:40,8:00,11,1,1,Thursday,HOSP,Passer domesticus,Perch,8:00,Red oak,Quercus rubra,23,
S06,31/05/2024,9:03,9:23,15,1,2,Friday,HOSP,Passer domesticus,Peck,9:03,Ground,NA,NA,
S06,31/05/2024,9:03,9:23,15,1,2,Friday,HOSP,Passer domesticus,Peck,9:04,Ground,NA,NA,
S06,31/05/2024,9:03,9:23,15,1,2,Friday,HOSP,Passer domesticus,Peck,9:04,Ground,NA,NA,
S06,31/05/2024,9:03,9:23,15,1,2,Friday,HOSP,Passer domesticus,Peck,9:06,Ground,NA,NA,
S06,31/05/2024,9:03,9:23,15,1,2,Friday,HOSP,Passer domesticus,Peck,9:06,Ground,NA,NA,
S06,31/05/2024,9:03,9:23,15,1,2,Friday,NOCA,Cardinalis cardinalis ,Perch,9:12,Common hackberry,Celtis occidentalis,25,Male NOCA
S06,31/05/2024,9:03,9:23,15,1,2,Friday,NOCA,Cardinalis cardinalis ,Perch,9:12,Common hackberry,Celtis occidentalis,25,Female NOCA
S06,31/05/2024,9:03,9:23,15,1,2,Friday,NOCA,Cardinalis cardinalis ,Peck,9:12,Ground,NA,NA,
S06,31/05/2024,9:03,9:23,15,1,2,Friday,NOCA,Cardinalis cardinalis ,Peck,9:12,Ground,NA,NA,
S06,31/05/2024,9:03,9:23,15,1,2,Friday,HOSP,Passer domesticus,Bill wipe,9:13,Common hackberry,Celtis occidentalis,25,
S06,31/05/2024,9:03,9:23,15,1,2,Friday,NOCA,Cardinalis cardinalis ,Hop,9:22,Common hackberry,Celtis occidentalis,25,
S13,31/05/2024,10:04,10:24,19,1,2,Friday,,,,,,,,Very quiet
S10,03/06/2024,7:20,7:40,21,1,2,Monday,HOSP,Passer domesticus,Peck,7:21,Silver maple,Acer saccharinum,105,"Many, many squirrels on this street. 3 cats. BCCH on Sugar maple after survey. "
S10,03/06/2024,7:20,7:40,21,1,2,Monday,HOSP,Passer domesticus,Peck,7:23,Silver maple,Acer saccharinum,105,
S10,03/06/2024,7:20,7:40,21,1,2,Monday,HOSP,Passer domesticus,Peck,7:25,Silver maple,Acer saccharinum,105,
S10,03/06/2024,7:20,7:40,21,1,2,Monday,HOSP,Passer domesticus,Vocalize,7:25,Silver maple,Acer saccharinum,105,
S10,03/06/2024,7:20,7:40,21,1,2,Monday,HOSP,Passer domesticus,Feed young,7:25,Sugar maple,Acer saccharum,4,
S10,03/06/2024,7:20,7:40,21,1,2,Monday,HOSP,Passer domesticus,Feed young,7:25,Sugar maple,Acer saccharum,4,
S10,03/06/2024,7:20,7:40,21,1,2,Monday,HOSP,Passer domesticus,Perch,7:25,Sugar maple,Acer saccharum,4,
S10,03/06/2024,7:20,7:40,21,1,2,Monday,HOSP,Passer domesticus,Perch,7:27,Sugar maple,Acer saccharum,4,
S10,03/06/2024,7:20,7:40,21,1,2,Monday,HOSP,Passer domesticus,Perch,7:28,Sugar maple,Acer saccharum,4,
S10,03/06/2024,7:20,7:40,21,1,2,Monday,HOSP,Passer domesticus,Perch,7:33,Silver maple,Acer saccharinum,105,
S10,03/06/2024,7:20,7:40,21,1,2,Monday,HOSP,Passer domesticus,Perch,7:33,Silver maple,Acer saccharinum,105,
S10,03/06/2024,7:20,7:40,21,1,2,Monday,HOSP,Passer domesticus,Bill wipe,7:34,Silver maple,Acer saccharinum,105,
S10,03/06/2024,7:20,7:40,21,1,2,Monday,HOSP,Passer domesticus,Vocalize,7:37,Norway maple,Acer platanoides,40,
S10,03/06/2024,7:20,7:40,21,1,2,Monday,HOSP,Passer domesticus,Perch,7:39,Sugar maple,Acer saccharum,40,
S10,03/06/2024,7:20,7:40,21,1,2,Monday,HOSP,Passer domesticus,Vocalize,7:39,Sugar maple,Acer saccharum,40,
S10,03/06/2024,7:20,7:40,21,1,2,Monday,HOSP,Passer domesticus,Peck,7:40,Ground,NA,NA,
S09,03/06/2024,8:22,8:42,21,1,2,Monday,AMRO,Turdus migratorius,Hop,8:22,Ground,NA,NA,YEWA head from train tracks. CHSW flying through the canopy of the Red ash (DBH = 80).
S09,03/06/2024,8:22,8:42,21,1,2,Monday,HOSP,Passer domesticus,Vocalize,8:25,Common hackberry,Celtis occidentalis,4,
S09,03/06/2024,8:22,8:42,21,1,2,Monday,AMRO,Turdus migratorius,Vocalize,8:29,Red ash,Fraxinus pensylvannica ,80,* second to last on street
S09,03/06/2024,8:22,8:42,21,1,2,Monday,HOSP,Passer domesticus,Vocalize,8:30,Red ash,Fraxinus pensylvannica ,45,* last tree on street
S09,03/06/2024,8:22,8:42,21,1,2,Monday,HOSP,Passer domesticus,Peck,8:31,Red ash,Fraxinus pensylvannica ,80,* second to last on street
S09,03/06/2024,8:22,8:42,21,1,2,Monday,HOSP,Passer domesticus,Vocalize,8:32,Red ash,Fraxinus pensylvannica ,80,* second to last on street
S09,03/06/2024,8:22,8:42,21,1,2,Monday,HOSP,Passer domesticus,Peck,8:33,Red ash,Fraxinus pensylvannica ,80,* second to last on street
S09,03/06/2024,8:22,8:42,21,1,2,Monday,HOSP,Passer domesticus,Reach,8:33,Red ash,Fraxinus pensylvannica ,80,
S09,03/06/2024,8:22,8:42,21,1,2,Monday,HOSP,Passer domesticus,Vocalize,8:33,Red ash,Fraxinus pensylvannica ,80,
S09,03/06/2024,8:22,8:42,21,1,2,Monday,HOSP,Passer domesticus,Peck,8:37,Red ash,Fraxinus pensylvannica ,36,
S15,03/06/2024,9:19,9:39,22,1,2,Monday,HOSP,Passer domesticus,Vocalize,9:32,European linden,Tilia × europaea,50,* second to last tree in crescent
S15,03/06/2024,9:19,9:39,22,1,2,Monday,HOSP,Passer domesticus,Perch,9:33,Red ash,Fraxinus pensylvannica ,24,"* double check tree, checked - part of inventory"
S15,03/06/2024,9:19,9:39,22,1,2,Monday,EUST,Sturnus vulgaris,Gape,9:35,Ground,NA,NA,ROPI on balcony. CHSW flying low. Female NOCA foraging on ground. Possible hawk (RTHA) flyover at 9:25. 
S15,03/06/2024,9:19,9:39,22,1,2,Monday,EUST,Sturnus vulgaris,Beg,9:37,Ground,NA,NA,
S07,03/06/2024,9:54,10:14,22,1,2,Monday,EUST,Sturnus vulgaris,Gape,9:56,Ground,NA,NA,REVI and NOCA heard vocalizing
S07,03/06/2024,9:54,10:14,22,1,2,Monday,EUST,Sturnus vulgaris,Gape,9:56,Ground,NA,NA,
S07,03/06/2024,9:54,10:14,22,1,2,Monday,AMRO,Turdus migratorius,Perch,9:57,Silver maple,Acer saccharinum,25,
S07,03/06/2024,9:54,10:14,22,1,2,Monday,AMRO,Turdus migratorius,Preen,9:57,Silver maple,Acer saccharinum,25,
S07,03/06/2024,9:54,10:14,22,1,2,Monday,AMRO,Turdus migratorius,Peck,9:57,Silver maple,Acer saccharinum,25,
S07,03/06/2024,9:54,10:14,22,1,2,Monday,AMRO,Turdus migratorius,Perch,9:57,Silver maple,Acer saccharinum,25,
S07,03/06/2024,9:54,10:14,22,1,2,Monday,AMRO,Turdus migratorius,Preen,9:57,Silver maple,Acer saccharinum,25,
S07,03/06/2024,9:54,10:14,22,1,2,Monday,AMRO,Turdus migratorius,Peck,9:57,Silver maple,Acer saccharinum,25,
S07,03/06/2024,9:54,10:14,22,1,2,Monday,NOCA,Cardinalis cardinalis ,Perch,10:00,Silver maple,Acer saccharinum,89,
S07,03/06/2024,9:54,10:14,22,1,2,Monday,EUST,Sturnus vulgaris,Gape,10:03,Ground,NA,NA,
S07,03/06/2024,9:54,10:14,22,1,2,Monday,EUST,Sturnus vulgaris,Perch,10:04,Silver maple,Acer saccharinum,106,Nest in cavity
S07,03/06/2024,9:54,10:14,22,1,2,Monday,EUST,Sturnus vulgaris,Preen,10:04,Silver maple,Acer saccharinum,106,
S07,03/06/2024,9:54,10:14,22,1,2,Monday,EUST,Sturnus vulgaris,Feed young,10:08,Silver maple,Acer saccharinum,106,
S07,03/06/2024,9:54,10:14,22,1,2,Monday,EUST,Sturnus vulgaris,Perch,10:10,Silver maple,Acer saccharinum,106,
S19,04/06/2024,7:21,7:41,18,1,2,Tuesday,HOSP,Passer domesticus,Perch,7:26,Norway maple,Acer platanoides,50,"BLJA X2, NOCA, AMRO on silver maple across the street"
S08,04/06/2024,8:15,8:35,18,1,2,Tuesday,EUST,Sturnus vulgaris,Gape,8:16,Ground,NA,NA,AMRO and NOCA heard vocalizing.
S08,04/06/2024,8:15,8:35,18,1,2,Tuesday,EUST,Sturnus vulgaris,Gape,8:16,Ground,NA,NA,
S08,04/06/2024,8:15,8:35,18,1,2,Tuesday,EUST,Sturnus vulgaris,Gape,8:16,Ground,NA,NA,
S08,04/06/2024,8:15,8:35,18,1,2,Tuesday,EUST,Sturnus vulgaris,Hop,8:17,Ground,NA,NA,
S08,04/06/2024,8:15,8:35,18,1,2,Tuesday,AMCR,Corvus brachyrhynchos,Preen,8:17,Norway maple,Acer platanoides,70,
S08,04/06/2024,8:15,8:35,18,1,2,Tuesday,AMCR,Corvus brachyrhynchos,Perch,8:17,Norway maple,Acer platanoides,70,
S08,04/06/2024,8:15,8:35,18,1,2,Tuesday,AMCR,Corvus brachyrhynchos,Vocalize,8:17,Norway maple,Acer platanoides,70,
S08,04/06/2024,8:15,8:35,18,1,2,Tuesday,EUST,Sturnus vulgaris,Perch,8:18,Norway maple,Acer platanoides,70,
S08,04/06/2024,8:15,8:35,18,1,2,Tuesday,EUST,Sturnus vulgaris,Perch,8:18,Norway maple,Acer platanoides,70,
S08,04/06/2024,8:15,8:35,18,1,2,Tuesday,EUST,Sturnus vulgaris,Perch,8:18,Norway maple,Acer platanoides,70,
